"","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species","residuals","fitted"
"1",5.1,3.5,1.4,0.2,"setosa",-0.129546131874884,1.52954613187488
"2",4.9,3,1.4,0.2,"setosa",-0.129546131874872,1.52954613187487
"3",4.7,3.2,1.3,0.2,"setosa",-0.229546131874885,1.52954613187488
"4",4.6,3.1,1.5,0.2,"setosa",-0.0295461318748851,1.52954613187489
"5",5,3.6,1.4,0.2,"setosa",-0.129546131874885,1.52954613187489
"6",5.4,3.9,1.7,0.4,"setosa",-0.275534230899258,1.97553423089926
"7",4.6,3.4,1.4,0.3,"setosa",-0.352540181387072,1.75254018138707
"8",5,3.4,1.5,0.2,"setosa",-0.0295461318748851,1.52954613187489
"9",4.4,2.9,1.4,0.2,"setosa",-0.129546131874885,1.52954613187489
"10",4.9,3.1,1.5,0.1,"setosa",0.193447917637301,1.3065520823627
"11",5.4,3.7,1.5,0.2,"setosa",-0.0295461318748851,1.52954613187489
"12",4.8,3.4,1.6,0.2,"setosa",0.070453868125115,1.52954613187489
"13",4.8,3,1.4,0.1,"setosa",0.0934479176373006,1.3065520823627
"14",4.3,3,1.1,0.1,"setosa",-0.206552082362699,1.3065520823627
"15",5.8,4,1.2,0.2,"setosa",-0.329546131874885,1.52954613187489
"16",5.7,4.4,1.5,0.4,"setosa",-0.475534230899258,1.97553423089926
"17",5.4,3.9,1.3,0.4,"setosa",-0.675534230899258,1.97553423089926
"18",5.1,3.5,1.4,0.3,"setosa",-0.352540181387072,1.75254018138707
"19",5.7,3.8,1.7,0.3,"setosa",-0.0525401813870718,1.75254018138707
"20",5.1,3.8,1.5,0.3,"setosa",-0.252540181387072,1.75254018138707
"21",5.4,3.4,1.7,0.2,"setosa",0.170453868125115,1.52954613187489
"22",5.1,3.7,1.5,0.4,"setosa",-0.475534230899258,1.97553423089926
"23",4.6,3.6,1,0.2,"setosa",-0.529546131874885,1.52954613187489
"24",5.1,3.3,1.7,0.5,"setosa",-0.498528280411444,2.19852828041144
"25",4.8,3.4,1.9,0.2,"setosa",0.370453868125115,1.52954613187489
"26",5,3,1.6,0.2,"setosa",0.070453868125115,1.52954613187489
"27",5,3.4,1.6,0.4,"setosa",-0.375534230899258,1.97553423089926
"28",5.2,3.5,1.5,0.2,"setosa",-0.0295461318748851,1.52954613187489
"29",5.2,3.4,1.4,0.2,"setosa",-0.129546131874885,1.52954613187489
"30",4.7,3.2,1.6,0.2,"setosa",0.070453868125115,1.52954613187489
"31",4.8,3.1,1.6,0.2,"setosa",0.070453868125115,1.52954613187489
"32",5.4,3.4,1.5,0.4,"setosa",-0.475534230899258,1.97553423089926
"33",5.2,4.1,1.5,0.1,"setosa",0.193447917637301,1.3065520823627
"34",5.5,4.2,1.4,0.2,"setosa",-0.129546131874885,1.52954613187489
"35",4.9,3.1,1.5,0.2,"setosa",-0.0295461318748851,1.52954613187489
"36",5,3.2,1.2,0.2,"setosa",-0.329546131874885,1.52954613187489
"37",5.5,3.5,1.3,0.2,"setosa",-0.229546131874885,1.52954613187488
"38",4.9,3.6,1.4,0.1,"setosa",0.0934479176373006,1.3065520823627
"39",4.4,3,1.3,0.2,"setosa",-0.229546131874885,1.52954613187488
"40",5.1,3.4,1.5,0.2,"setosa",-0.0295461318748851,1.52954613187489
"41",5,3.5,1.3,0.3,"setosa",-0.452540181387072,1.75254018138707
"42",4.5,2.3,1.3,0.3,"setosa",-0.452540181387072,1.75254018138707
"43",4.4,3.2,1.3,0.2,"setosa",-0.229546131874885,1.52954613187488
"44",5,3.5,1.6,0.6,"setosa",-0.82152232992363,2.42152232992363
"45",5.1,3.8,1.9,0.4,"setosa",-0.0755342308992581,1.97553423089926
"46",4.8,3,1.4,0.3,"setosa",-0.352540181387072,1.75254018138707
"47",5.1,3.8,1.6,0.2,"setosa",0.070453868125115,1.52954613187489
"48",4.6,3.2,1.4,0.2,"setosa",-0.129546131874885,1.52954613187489
"49",5.3,3.7,1.5,0.2,"setosa",-0.0295461318748851,1.52954613187489
"50",5,3.3,1.4,0.2,"setosa",-0.129546131874885,1.52954613187489
"51",7,3.2,4.7,1.4,"versicolor",0.49452527397888,4.20547472602112
"52",6.4,3.2,4.5,1.5,"versicolor",0.0715312244666932,4.42846877553331
