state, wnrate
Utah," 	23.8"
Idaho," 	24.7"
Arkansas," 	25.1"
Oklahoma," 	25.2"
Wyoming," 	25.2"
Alaska," 	25.5"
Kansas," 	25.7"
Kentucky," 	25.7"
South Dakota," 	25.8"
Iowa," 	25.9"
Montana," 	26.0"
Nebraska," 	26.0"
North Dakota," 	26.0"
West Virginia," 	26.0"
Alabama," 	26.1"
Tennessee," 	26.1"
Texas," 	26.1"
Mississippi," 	26.3"
Indiana," 	26.4"
Washington," 	26.4"
Colorado," 	26.5"
Missouri," 	26.5"
Nevada," 	26.6"
North Carolina," 	26.6"
Arizona," 	26.7"
Hawaii," 	26.7"
Georgia," 	26.8"
New Mexico," 	26.8"
Minnesota," 	26.9"
Ohio," 	26.9"
Virginia," 	26.9"
Wisconsin," 	27.0"
Oregon," 	27.1"
Maine," 	27.2"
New Hampshire," 	27.2"
Louisiana," 	27.3"
Michigan," 	27.3"
South Carolina," 	27.3"
Florida," 	27.8"
Vermont," 	27.8"
California," 	27.9"
Illinois," 	27.9"
Delaware," 	28.0"
Pennsylvania," 	28.0"
Maryland," 	28.1"
Puerto Rico," 	28.4"
New Jersey," 	28.6"
Connecticut," 	28.7"
Rhode Island," 	29.0"
New York," 	29.1"
Massachusetts," 	29.3"
District of Columbia," 	30.2"
